In format of value, steps, maximum value reached
3660,131,9232
3661,131,10984
3662,69,13912
3663,69,37096
3664,38,3664
3665,43,10996
3666,43,20896
3667,43,20896
3668,38,3668
3669,38,11008
3670,131,9232
3671,131,24784
3672,131,9232
3673,162,12400
3674,131,9232
3675,100,31408
3676,131,9232
3677,131,11032
3678,162,18628
3679,162,55888
3680,38,3680
3681,131,13984
3682,131,9232
3683,131,16576
3684,131,9232
3685,131,11056
3686,131,9232
3687,43,63016
3688,38,3688
3689,100,95956
3690,38,5536
3691,69,16612
3692,69,10528
3693,69,11080
3694,69,12472
3695,206,250504
3696,131,9232
3697,38,11092
3698,69,6244
3699,69,16648
3700,131,9232
3701,131,11104
3702,131,9376
3703,131,25000
3704,131,9232
3705,162,26728
3706,131,9232
3707,131,18772
3708,118,15856
3709,118,15856
3710,118,42280
3711,237,481624
3712,25,3712
3713,69,23812
3714,38,5572
3715,38,16720
3716,131,9232
3717,131,11152
3718,131,9232
3719,43,25108
3720,38,3720
3721,69,80512
3722,38,5584
3723,131,16756
3724,38,4192
3725,38,11176
3726,69,15928
3727,69,37744
3728,87,9232
3729,69,11188
3730,69,9448
3731,69,16792
3732,87,9232
3733,87,11200
3734,38,8404
3735,38,25216
3736,87,9232
3737,100,45520
3738,87,9232
3739,113,345544
3740,131,9232
3741,131,11224
3742,131,18952
3743,69,95956
3744,25,3744
3745,162,21688
3746,87,9232
3747,87,16864
3748,175,250504
3749,175,250504
3750,175,250504
3751,61,32056
3752,25,3752
3753,162,144340
3754,25,5632
3755,61,16900
3756,87,9232
3757,87,11272
3758,87,12688
3759,87,38068
3760,131,9232
3761,38,11284
3762,38,6352
3763,38,16936
3764,131,9232
3765,131,11296
3766,87,14308
3767,87,25432
3768,131,9232
3769,113,39364
3770,131,9232
3771,113,39364
3772,38,9556
3773,38,11320
3774,38,28672
3775,87,86020
3776,38,3776
3777,131,11332
3778,82,8080
3779,82,17008
3780,38,3780
3781,38,11344
3782,38,8512
3783,131,25540
3784,38,3784
3785,131,19168
3786,38,5680
3787,82,17044
3788,38,4264
3789,38,11368
3790,175,138400
3791,175,138400
3792,38,3792
3793,69,11380
3794,69,14416
3795,69,17080
3796,38,3796
3797,38,11392
3798,69,8548
3799,69,25648
3800,30,3800
3801,30,12832
3802,30,5704
3803,82,61720
3804,30,6424
3805,30,11416
3806,131,21688
3807,131,57832
3808,38,3808
3809,175,32560
3810,38,5716
3811,38,17152
3812,30,3812
3813,30,11440
3814,30,8584
3815,175,48904
3816,38,3816
3817,82,28996
3818,38,5728
3819,30,21760
3820,30,4840
3821,30,11464
3822,30,12904
3823,175,98008
3824,56,9232
3825,38,11476
3826,82,39364
3827,82,39364
3828,56,9232
3829,56,11488
3830,175,1276936
3831,175,1276936
3832,56,9232
3833,56,14560
3834,56,9232
3835,131,32776
3836,131,41524
3837,131,41524
3838,131,65608
3839,113,897856
3840,25,3840
3841,38,11524
3842,144,9232
3843,144,17296
3844,51,3844
3845,51,11536
3846,51,8656
3847,144,25972
3848,51,3848
3849,131,24676
3850,51,5776
3851,144,17332
3852,51,4336
3853,51,11560
3854,51,13012
3855,51,39040
3856,25,3856
3857,51,11572
3858,56,10996
3859,56,17368
3860,25,3860
3861,25,11584
3862,144,9232
3863,144,26080
3864,25,3864
3865,144,24784
3866,25,5800
3867,82,223072
3868,144,9232
3869,144,11608
3870,144,19600
3871,113,58804
3872,100,9232
3873,51,11620
3874,51,5812
3875,51,17440
3876,51,4912
3877,51,11632
3878,51,8728
3879,144,29464
3880,100,9232
3881,144,44224
3882,100,9232
3883,51,17476
3884,38,4372
3885,38,11656
3886,38,13120
3887,51,39364
3888,100,9232
3889,38,11668
3890,38,6568
3891,38,17512
3892,100,9232
3893,100,11680
3894,82,22192
3895,82,26296
3896,144,9232
3897,144,13156
3898,144,9232
3899,144,19744
3900,144,9880
3901,144,11704
3902,175,33352
3903,175,88936
3904,25,3904
3905,100,11716
3906,38,5860
3907,38,17584
3908,100,9232
3909,100,11728
3910,100,9232
3911,82,33424
3912,51,4192
3913,144,19816
3914,51,5872
3915,100,17620
3916,51,4408
3917,51,11752
3918,82,80512
3919,82,80512
3920,25,3920
3921,51,11764
3922,175,190996
3923,175,190996
3924,25,3924
3925,25,11776
3926,82,9448
3927,82,26512
3928,144,9232
3929,100,13264
3930,144,9232
3931,82,85048
3932,144,9232
3933,144,11800
3934,100,19924
3935,100,59776
3936,51,3936
3937,126,345544
3938,25,5908
3939,25,17728
3940,25,3940
3941,25,11824
3942,25,8872
3943,175,575728
3944,51,3944
3945,100,29968
3946,51,5920
3947,188,250504
3948,38,7504
3949,38,11848
3950,38,13336
3951,74,45016
3952,51,3952
3953,51,11860
3954,144,9232
3955,144,17800
3956,51,3956
3957,51,11872
3958,144,10024
3959,144,26728
3960,100,14308
3961,51,33856
3962,100,14308
3963,51,20068
3964,100,15064
3965,100,15064
3966,51,50848
3967,51,135592
3968,113,9232
3969,144,11908
3970,51,5956
3971,51,17872
3972,95,8080
3973,95,11920
3974,95,8944
3975,51,26836
3976,25,3976
3977,144,22660
3978,25,5968
3979,95,17908
3980,25,4480
3981,25,11944
3982,51,13444
3983,51,40336
3984,51,3984
3985,51,11956
3986,51,10096
3987,51,17944
3988,51,3988
3989,51,11968
3990,51,8980
3991,51,26944
3992,51,3992
3993,51,13480
3994,51,5992
3995,82,45520
3996,51,11392
3997,51,11992
3998,51,20248
3999,188,129760
4000,113,9232
4001,43,12004
4002,51,6004
4003,51,18016
4004,144,21688
4005,144,21688
4006,144,21688
4007,43,30436
4008,113,9232
4009,157,250504
4010,113,9232
4011,188,32560
4012,43,8584
4013,43,12040
4014,43,13552
4015,43,40660
4016,69,9232
4017,25,12052
4018,25,6784
4019,25,18088
4020,69,9232
4021,69,12064
4022,43,15280
4023,43,27160
4024,69,9232
4025,69,13588
4026,69,9232
4027,69,20392
4028,95,39364
4029,95,39364
4030,95,39364
4031,95,103336
4032,113,9232
4033,69,12100
4034,69,14560
4035,69,18160
4036,113,9232
4037,113,12112
4038,113,9232
4039,144,32776
4040,64,4040
4041,144,65608
4042,64,6064
4043,25,18196
4044,64,4552
4045,64,12136
4046,157,23056
4047,157,40984
4048,113,9232
4049,64,12148
4050,157,25972
4051,157,25972
4052,113,9232
4053,113,12160
4054,157,17332
4055,157,27376
4056,38,4056
4057,113,13696
4058,38,6088
4059,64,30832
4060,38,6856
4061,38,12184
4062,64,34720
4063,64,61720
4064,51,4372
4065,126,250504
4066,113,9232
4067,113,18304
4068,157,9232
4069,157,12208
4070,157,9232
4071,157,46384
4072,51,4372
4073,95,223072
4074,51,6112
4075,157,39184
4076,64,5812
4077,64,12232
4078,64,13768
4079,64,69712
4080,51,13120
4081,51,12244
4082,64,8728
4083,64,18376
4084,51,13120
4085,51,13120
4086,157,44224
4087,157,44224
4088,64,39364
4089,64,17476
4090,64,39364
4091,126,95956
4092,64,118096
4093,64,118096
4094,157,1276936
4095,157,1276936
4096,12,4096
4097,113,12292
4098,157,9232
4099,157,18448
4100,38,4100
4101,38,12304
4102,38,9232
4103,157,27700
4104,38,4104
4105,157,20788
4106,38,6160
4107,38,18484
4108,38,4624
4109,38,12328
4110,38,13876
4111,38,41632
4112,126,9232
4113,38,12340
4114,113,10420
4115,113,18520
4116,126,9232
4117,126,12352
4118,38,9268
4119,38,27808
4120,126,9232
4121,64,13912
4122,126,9232
4123,95,70468
4124,38,6964
4125,38,12376
4126,38,20896
4127,170,225988
4128,126,9232
4129,188,190996
4130,126,9232
4131,126,18592
4132,157,9232
4133,157,12400
4134,157,9304
4135,95,31408
4136,126,9232
4137,95,59668
4138,126,9232
4139,157,18628
4140,126,9232
4141,126,12424
4142,126,13984
4143,64,41956
4144,126,9232
4145,38,12436
4146,38,7000
4147,38,18664
4148,126,9232
4149,126,12448
4150,95,95956
4151,95,95956
4152,64,4152
4153,64,14020
4154,64,6232
4155,64,21040
4156,64,10528
4157,64,12472
4158,51,31588
4159,51,94768
4160,33,4160
4161,64,12484
4162,64,6244
4163,64,18736
4164,126,9232
4165,126,12496
4166,126,9376
4167,113,60100
4168,126,9232
4169,157,26728
4170,126,9232
4171,126,18772
4172,126,9232
4173,126,12520
4174,113,15856
4175,113,42280
4176,33,4176
4177,126,12532
4178,64,23812
4179,64,23812
4180,33,4180
4181,33,12544
4182,38,9412
4183,38,28240
4184,126,9232
4185,38,14128
4186,126,9232
4187,64,80512
4188,126,9232
4189,126,12568
4190,108,21220
4191,108,63664
4192,33,4192
4193,64,15928
4194,64,6292
4195,64,18880
4196,64,4196
4197,64,12592
4198,64,9448
4199,64,71764
4200,33,4200
4201,64,31912
4202,33,6304
4203,64,26944
4204,95,45520
4205,95,45520
4206,95,45520
4207,108,345544
4208,82,9232
4209,33,12628
4210,126,9232
4211,126,18952
4212,82,9232
4213,82,12640
4214,157,21688
4215,157,28456
4216,82,9232
4217,56,40552
4218,82,9232
4219,157,21688
4220,170,250504
4221,170,250504
4222,170,250504
4223,157,144340
4224,33,4224
4225,56,12676
4226,82,9232
4227,82,19024
4228,82,9232
4229,82,12688
4230,82,9520
4231,38,28564
4232,33,4232
4233,201,695464
4234,33,6352
4235,56,19060
4236,33,4768
4237,33,12712
4238,82,14308
4239,82,42928
4240,126,9232
4241,108,39364
4242,108,39364
4243,108,39364
4244,126,9232
4245,126,12736
4246,33,9556
4247,33,28672
4248,126,9232
4249,126,14344
4250,126,9232
4251,82,48436
4252,77,8080
4253,77,12760
4254,77,21544
4255,201,6810136
4256,33,4256
4257,38,18196
4258,126,9232
4259,126,19168
4260,77,12148
4261,77,12784
4262,77,12148
4263,126,599056
4264,33,4264
4265,170,138400
4266,33,6400
4267,126,19204
4268,64,4804
4269,64,12808
4270,64,14416
4271,170,43252
4272,25,4272
4273,64,12820
4274,64,7216
4275,64,19240
4276,25,4276
4277,25,12832
4278,77,61720
4279,77,61720
4280,25,4280
4281,126,14452
4282,25,6424
4283,126,21688
4284,170,10852
4285,170,12856
4286,170,32560
4287,126,97684
4288,33,4288
4289,77,12868
4290,77,8152
4291,77,19312
4292,25,4292
4293,25,12880
4294,25,9664
4295,77,28996
4296,25,4296
4297,25,21760
4298,25,6448
4299,64,19348
4300,25,4840
4301,25,12904
4302,108,176740
4303,108,176740
4304,33,4304
4305,77,39364
4306,77,39364
4307,77,39364
4308,33,4308
4309,33,12928
4310,170,1276936
4311,170,1276936
4312,51,9232
4313,51,14560
4314,51,9232
4315,126,32776
4316,51,9232
4317,51,12952
4318,126,41524
4319,126,65608
4320,46,4320
4321,170,83104
4322,33,6484
4323,33,19456
4324,139,9232
4325,139,12976
4326,139,9736
4327,170,49300
4328,46,4328
4329,51,32884
4330,46,6496
4331,126,24676
4332,139,9232
4333,139,13000
4334,139,14632
4335,64,166696
4336,46,4336
4337,46,13012
4338,77,13912
4339,77,19528
4340,46,4340
4341,46,13024
4342,51,10996
4343,51,29320
4344,139,9232
4345,51,20896
4346,139,9232
4347,183,225988
4348,139,24784
4349,139,24784
4350,77,74356
4351,77,223072
4352,20,4352
4353,139,13060
4354,139,9232
4355,139,19600
4356,46,4356
4357,46,13072
4358,46,9808
4359,170,29428
4360,46,4360
4361,139,22084
4362,46,6544
4363,139,19636
4364,46,4912
4365,46,13096
4366,139,14740
4367,139,44224
4368,33,4368
4369,46,13108
4370,108,95956
4371,108,95956
4372,33,4372
4373,33,13120
4374,77,10528
4375,77,29536
4376,33,4376
4377,77,14776
4378,33,6568
4379,214,250504
4380,77,7396
4381,77,13144
4382,77,22192
4383,77,66580
4384,95,9232
4385,139,13156
4386,139,9232
4387,139,19744
4388,139,9232
4389,139,13168
4390,139,9880
4391,170,33352
4392,95,9232
4393,139,50056
4394,95,9232
4395,126,19780
4396,33,4948
4397,33,13192
4398,33,14848
4399,100,67768
4400,95,9232
4401,139,13204
4402,139,9232
4403,139,19816
4404,95,9232
4405,95,13216
4406,51,25108
4407,51,29752
4408,46,4408
4409,77,80512
4410,46,6616
4411,46,22336
4412,46,11176
4413,46,13240
4414,170,190996
4415,170,190996
4416,20,4416
4417,95,13252
4418,77,9448
4419,77,19888
4420,95,9232
4421,95,13264
4422,95,9952
4423,77,85048
4424,139,9232
4425,46,22408
4426,139,9232
4427,95,19924
4428,139,9232
4429,139,13288
4430,121,345544
4431,121,345544
4432,20,4432
4433,139,18952
4434,77,95956
4435,77,95956
4436,20,4436
4437,20,13312
4438,95,9988
4439,95,29968
4440,33,4440
4441,183,250504
4442,33,6664
4443,95,33748
4444,33,7504
4445,33,13336
4446,183,250504
4447,183,250504
4448,46,4448
4449,69,16900
4450,139,9232
4451,139,20032
4452,139,9232
4453,139,13360
4454,139,10024
4455,95,114208
4456,46,4456
4457,46,33856
4458,46,6688
4459,46,20068
4460,95,14308
4461,95,14308
4462,95,15064
4463,46,50848
4464,46,4464
4465,46,13396
4466,139,9232
4467,139,20104
4468,46,4468
4469,46,13408
4470,46,11320
4471,46,30184
4472,90,8080
4473,95,86020
4474,90,8080
4475,139,22660
4476,90,17008
4477,90,17008
4478,139,51028
4479,139,153088
4480,20,4480
4481,46,13444
4482,46,6724
4483,46,20176
4484,46,4484
4485,46,13456
4486,46,10096
4487,46,30292
4488,46,4488
4489,90,25576
4490,46,6736
4491,183,138400
4492,46,5056
4493,46,13480
4494,77,15172
4495,77,45520
4496,46,4496
4497,46,13492
4498,46,11392
4499,46,20248
4500,46,4500
4501,46,13504
4502,38,10132
4503,38,30400
4504,46,4504
4505,38,15208
4506,46,6760
4507,90,61720
4508,139,21688
4509,139,21688
4510,139,22840
4511,152,250504
4512,20,4512
4513,183,32560
4514,38,6772
4515,38,20320
4516,38,8584
4517,38,13552
4518,38,10168
4519,90,34324
4520,20,4520
4521,183,77272
4522,20,6784
4523,90,28996
4524,38,5092
4525,38,13576
4526,38,15280
4527,38,45844
4528,64,9232
4529,64,13588
4530,64,9232
4531,64,20392
4532,64,9232
4533,64,13600
4534,90,39364
4535,90,39364
4536,64,9232
4537,64,15316
4538,64,9232
4539,183,1276936
4540,64,14560
4541,64,14560
4542,64,34504
4543,183,1276936
4544,108,9232
4545,139,41524
4546,139,65608
4547,139,65608
4548,20,4548
4549,20,13648
4550,20,10240
4551,183,83104
4552,59,4552
4553,152,23056
4554,59,6832
4555,59,20500
4556,59,5128
4557,59,13672
4558,152,25972
4559,152,46168
4560,108,9232
4561,59,13684
4562,152,17332
4563,152,20536
4564,108,9232
4565,108,13696
4566,59,13012
4567,59,30832
4568,33,4568
4569,33,15424
4570,33,6856
4571,59,34720
4572,33,7720
4573,33,13720
4574,121,250504
4575,121,250504
4576,108,9232
4577,152,26080
4578,108,9232
4579,108,20608
4580,152,9232
4581,152,13744
4582,152,10312
4583,90,223072
4584,108,9232
4585,152,39184
4586,108,9232
4587,121,58804
4588,59,5812
4589,59,13768
4590,59,15496
4591,170,8153620
4592,46,4592
4593,108,13780
4594,59,8728
4595,59,20680
4596,46,4596
4597,46,13792
4598,152,44224
4599,152,44224
4600,46,13120
4601,59,17476
4602,46,13120
4603,121,95956
4604,59,39364
4605,59,39364
4606,59,118096
4607,152,1276936
4608,28,4608
4609,46,13828
4610,108,9232
4611,108,20752
4612,152,9232
4613,152,13840
4614,152,10384
4615,90,31156
4616,33,4616
4617,108,23380
4618,33,6928
4619,152,20788
4620,33,5200
4621,33,13864
4622,152,15604
4623,152,46816
4624,33,4624
4625,33,13876
4626,108,11716
4627,108,20824
4628,33,4628
4629,33,13888
4630,108,10420
4631,108,31264
4632,33,4632
4633,108,15640
4634,33,6952
4635,90,79216
4636,59,7828
4637,59,13912
4638,59,23488
4639,90,70468
4640,121,9232
4641,59,13924
4642,33,6964
4643,33,20896
4644,183,190996
4645,183,190996
4646,183,190996
4647,59,35296
4648,121,9232
4649,134,67048
4650,121,9232
4651,33,20932
4652,152,9232
4653,152,13960
4654,152,15712
4655,90,59668
4656,121,9232
4657,152,13972
4658,152,9232
4659,152,20968
4660,121,9232
4661,121,13984
4662,108,59776
4663,108,59776
4664,33,4664
4665,134,345544
4666,33,7000
4667,33,23632
4668,33,11824
4669,33,14008
4670,90,95956
4671,90,106432
4672,121,9232
4673,59,14020
4674,59,7012
4675,59,21040
4676,59,4676
4677,59,14032
4678,59,10528
4679,46,31588
4680,59,4680
4681,46,23704
4682,59,7024
4683,59,21076
4684,59,5272
4685,59,14056
4686,152,17800
4687,152,47464
4688,121,9232
4689,152,14068
4690,152,26728
4691,152,26728
4692,121,9232
4693,121,14080
4694,108,14308
4695,108,31696
4696,121,9232
4697,108,15856
4698,121,9232
4699,82,67768
4700,121,9232
4701,121,14104
4702,59,23812
4703,59,71440
4704,121,9232
4705,59,17872
4706,33,7060
4707,33,21184
4708,33,4708
4709,33,14128
4710,33,10600
4711,59,80512
4712,121,9232
4713,152,35800
4714,121,9232
4715,103,21220
4716,59,13444
4717,59,14152
4718,59,15928
4719,103,53764
4720,59,4720
4721,121,14164
4722,59,10096
4723,59,21256
4724,59,4724
4725,59,14176
4726,59,11968
4727,59,31912
4728,59,5992
4729,59,26944
4730,59,7096
4731,59,23956
4732,90,45520
4733,90,45520
4734,90,53944
4735,152,182068
4736,28,4736
4737,59,20248
4738,121,9232
4739,121,21328
4740,152,21688
4741,152,21688
4742,152,21688
4743,59,32020
4744,77,9232
4745,51,40552
4746,77,9232
4747,152,21688
4748,77,9232
4749,77,14248
4750,165,250504
4751,165,250504
4752,77,9232
4753,51,14260
4754,51,12040
4755,51,21400
4756,77,9232
4757,77,14272
4758,77,10708
4759,77,32128
4760,77,9232
4761,33,16072
4762,77,9232
4763,196,695464
4764,51,15280
4765,51,15280
4766,51,24136
4767,103,122200
4768,28,4768
4769,77,14308
4770,103,39364
4771,103,39364
4772,103,39364
4773,103,39364
4774,103,39364
4775,59,40804
4776,28,4776
4777,103,275560
4778,28,7168
4779,77,21508
4780,121,9232
4781,121,14344
4782,121,16144
4783,77,48436
4784,121,9232
4785,72,14356
4786,72,8080
4787,72,21544
4788,121,9232
4789,121,14368
4790,33,18196
4791,33,32344
4792,121,9232
4793,72,16180
4794,121,9232
4795,165,24280
4796,72,12148
4797,72,14392
4798,72,36448
4799,165,138400
4800,20,4800
4801,121,14404
4802,165,17332
4803,165,21616
4804,59,4804
4805,59,14416
4806,59,10816
4807,121,32452
4808,59,4808
4809,46,24352
4810,59,7216
4811,46,21652
4812,59,5416
4813,59,14440
4814,72,61720
4815,72,61720
4816,20,4816
4817,121,14452
4818,121,18304
4819,121,21688
4820,20,4820
4821,20,14464
4822,165,10852
4823,165,32560
4824,72,5812
4825,59,16288
4826,72,7240
4827,103,223072
4828,72,8152
4829,72,14488
4830,121,27520
4831,121,73384
4832,20,4832
4833,72,69712
4834,20,7252
4835,20,21760
4836,59,13120
4837,59,14512
4838,59,13120
4839,165,93040
4840,20,4840
4841,103,176740
4842,20,7264
4843,165,44224
4844,72,39364
4845,72,39364
4846,72,39364
4847,165,209680
4848,46,4848
4849,20,14548
4850,165,1276936
4851,165,1276936
4852,46,4852
4853,46,14560
4854,121,12292
4855,121,32776
4856,46,9232
4857,165,18448
4858,46,9232
4859,121,41524
4860,165,27700
4861,165,27700
4862,165,83104
4863,90,599056
4864,28,4864
4865,46,14596
4866,46,7300
4867,46,21904
4868,134,9232
4869,134,14608
4870,134,10960
4871,46,32884
4872,134,9232
4873,121,24676
4874,134,9232
4875,121,21940
4876,134,9232
4877,134,14632
4878,134,16468
4879,134,49408
4880,41,4880
4881,134,14644
4882,72,13912
4883,72,21976
4884,41,4884
4885,41,14656
4886,46,10996
4887,46,32992
4888,41,4888
4889,46,20896
4890,41,7336
4891,178,225988
4892,134,9232
4893,134,14680
4894,134,24784
4895,72,74356
4896,41,4896
4897,165,14692
4898,134,9232
4899,134,22048
4900,134,9232
4901,134,14704
4902,134,11032
4903,103,59668
4904,41,4904
4905,165,55888
4906,41,7360
4907,134,22084
4908,134,9232
4909,134,14728
4910,134,16576
4911,121,59776
4912,41,4912
4913,134,14740
4914,134,9232
4915,134,22120
4916,41,4916
4917,41,14752
4918,103,95956
4919,103,95956
4920,72,10528
4921,72,16612
4922,72,10528
4923,72,24928
4924,72,12472
4925,72,14776
4926,209,250504
4927,209,250504
4928,28,4928
4929,41,14788
4930,72,7396
4931,72,22192
4932,134,9232
4933,134,14800
4934,134,11104
4935,196,144340
4936,134,9232
4937,134,25000
4938,134,9232
4939,134,22228
4940,134,9232
4941,134,14824
4942,134,18772
4943,134,50056
4944,28,4944
4945,121,15856
4946,121,42280
4947,121,42280
4948,28,4948
4949,28,14848
4950,72,23812
4951,72,33424
4952,134,9232
4953,41,16720
4954,134,9232
4955,72,37636
4956,134,9232
4957,134,14872
4958,46,25108
4959,46,75328
4960,90,9232
4961,72,80512
4962,41,7444
4963,41,22336
4964,41,4964
4965,41,14896
4966,41,11176
4967,165,190996
4968,90,9232
4969,72,37744
4970,90,9232
4971,72,22372
4972,72,9448
4973,72,14920
4974,72,16792
4975,72,56680
4976,90,9232
4977,90,14932
4978,41,8404
4979,41,22408
4980,90,9232
4981,90,14944
4982,103,45520
4983,103,45520
4984,134,9232
4985,116,345544
4986,134,9232
4987,165,182068
4988,134,18952
4989,134,18952
4990,72,95956
4991,72,170584
4992,41,4992
4993,165,21688
4994,90,9232
4995,90,22480
4996,178,250504
4997,178,250504
4998,178,250504
4999,90,33748
5000,28,5000
